fecha_muestra,desc_abreviada_punto,desc_lugar_muestreo,playa,coliformes,salinidad,temperatura,enterococos,cianobacterias,turbidez,ph,tipo
2026-08-20 13:15,RAM,Ramírez,Ramirez,,1,13,200,Ausencia,110,7.91,Representativo
2026-08-20 12:40,PA,Cerro,Del Cerro,,0.8,12.4,150,Ausencia,130,7.36,Representativo
2026-08-20 12:25,PN,Nacional,Del Nacional (o Frigonal),,0.7,,440,Ausencia,120,,Representativo
2026-08-20 12:03,SC,Santa Catalina,Santa Catalina,,0.6,,2200,Ausencia,140,,Representativo
2026-08-20 11:50,PC,Los Cilindros,De Los Cilindros,,0.4,,80,Ausencia,150,,Representativo
2026-08-20 11:49,H,Honda,Honda,,1.2,,160,Ausencia,95,,Representativo
2026-08-20 11:35,PB,Pajas Blancas,Pajas Blancas,,0.4,12.3,80,Ausencia,150,7.88,Representativo
2026-08-20 11:30,MIR,Miramar,Miramar,,1.2,,2100,Ausencia,,,Representativo
2026-08-20 11:23,CAR,Carrasco,Carrasco,,1.3,12.4,1900,Ausencia,80,8.03,Representativo
2026-08-20 11:20,LC,La Colorada,La Colorada,,0.4,,140,Ausencia,140,,Representativo
2026-08-20 11:12,VDE,Verde,Verde,,1.4,,40,Ausencia,,,Representativo
2026-08-20 10:59,ING,Ingleses,De Los Ingleses,,1.3,,250,Ausencia,90,,Representativo
2026-08-20 10:48,MAL,Malvín,Malvin,,1.2,12,200,Ausencia,95,7.64,Representativo
2026-08-20 10:40,BUC,Buceo,Buceo,,1.3,,80,Ausencia,85,,Representativo
2026-08-20 09:40,POC,Pocitos en Barreiro,Pocitos,,1.2,11.8,240,Ausencia,95,7.33,Representativo
2026-08-10 13:01,RAM,Ramírez,Ramirez,,2.8,12,5900,Ausencia,140,,Representativo
2026-08-10 12:27,PA,Cerro,Del Cerro,,2.4,11.8,420,Ausencia,110,,Representativo
2026-08-10 12:15,PN,Nacional,Del Nacional (o Frigonal),,1.4,,760,Ausencia,170,,Representativo
2026-08-10 12:00,SC,Santa Catalina,Santa Catalina,,2.1,,480,Ausencia,180,,Representativo
